Sample,Time_interval,amend,mgmt,moisture,field_reps,All,Time.Amend.Mgmt,Amend.Mgmt,Amend.Moist,Mgmt.Moist,Time.Mgmt,Time.Moist,NH4,NO3,nrfA
NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,.,.,.
t1.Control.BM.60.R3,t1,Control,BM,60,3,t1.Control.BM.60,t1.Control.BM,Control.BM,Control.60,BM.60,t1.BM,t1.60,43.83,78.20039231,14941.06152
t1.Control.BM.60.R4,t1,Control,BM,60,4,t1.Control.BM.60,t1.Control.BM,Control.BM,Control.60,BM.60,t1.BM,t1.60,42.39,57.2442748,11720.98535
t1.Control.BM.95.R1,t1,Control,BM,95,1,t1.Control.BM.95,t1.Control.BM,Control.BM,Control.95,BM.95,t1.BM,t1.95,60.65,36.83221034,19957.2207
t1.Control.BM.95.R2,t1,Control,BM,95,2,t1.Control.BM.95,t1.Control.BM,Control.BM,Control.95,BM.95,t1.BM,t1.95,53.33,54.84641135,17653.08008
t1.Control.BM.95.R3,t1,Control,BM,95,3,t1.Control.BM.95,t1.Control.BM,Control.BM,Control.95,BM.95,t1.BM,t1.95,58.95,56.11586847,15409.525
t1.Control.BM.95.R4,t1,Control,BM,95,4,t1.Control.BM.95,t1.Control.BM,Control.BM,Control.95,BM.95,t1.BM,t1.95,51.24,40.78163249,14066.25
t1.Control.FERT.60.R1,t1,Control,FERT,60,1,t1.Control.FERT.60,t1.Control.FERT,Control.FERT,Control.60,FERT.60,t1.FERT,t1.60,33.78,24.98584568,8461.0105
t1.Control.FERT.60.R2,t1,Control,FERT,60,2,t1.Control.FERT.60,t1.Control.FERT,Control.FERT,Control.60,FERT.60,t1.FERT,t1.60,38.89,22.40533278,12459.09766
t1.Control.FERT.60.R3,t1,Control,FERT,60,3,t1.Control.FERT.60,t1.Control.FERT,Control.FERT,Control.60,FERT.60,t1.FERT,t1.60,21.14,28.29784254,14159.3877
t1.Control.FERT.60.R4,t1,Control,FERT,60,4,t1.Control.FERT.60,t1.Control.FERT,Control.FERT,Control.60,FERT.60,t1.FERT,t1.60,25.48,27.54603957,14919.23145
t1.Control.FERT.95.R1,t1,Control,FERT,95,1,t1.Control.FERT.95,t1.Control.FERT,Control.FERT,Control.95,FERT.95,t1.FERT,t1.95,46.86,15.13113107,15727.00293
t1.Control.FERT.95.R2,t1,Control,FERT,95,2,t1.Control.FERT.95,t1.Control.FERT,Control.FERT,Control.95,FERT.95,t1.FERT,t1.95,52.18,17.89451496,15958.76563
t1.Control.FERT.95.R3,t1,Control,FERT,95,3,t1.Control.FERT.95,t1.Control.FERT,Control.FERT,Control.95,FERT.95,t1.FERT,t1.95,37.74,14.4402851,10839.6377
t1.Control.FERT.95.4,t1,Control,FERT,95,4,t1.Control.FERT.95,t1.Control.FERT,Control.FERT,Control.95,FERT.95,t1.FERT,t1.95,42.56,19.3574829,15241.59863
t1.Dig.BM.60.R1,t1,Dig,BM,60,1,t1.Dig.BM.60,t1.Dig.BM,Dig.BM,Dig.60,BM.60,t1.BM,t1.60,349.66,88.17793314,29389.13477
t1.Dig.BM.60.R2,t1,Dig,BM,60,2,t1.Dig.BM.60,t1.Dig.BM,Dig.BM,Dig.60,BM.60,t1.BM,t1.60,324.99,33.13376435,83952.46094
t1.Dig.BM.60.R3,t1,Dig,BM,60,3,t1.Dig.BM.60,t1.Dig.BM,Dig.BM,Dig.60,BM.60,t1.BM,t1.60,243.04,88.03570015,61456.51563
t1.Dig.BM.60.R4,t1,Dig,BM,60,4,t1.Dig.BM.60,t1.Dig.BM,Dig.BM,Dig.60,BM.60,t1.BM,t1.60,321.08,77.7968893,45611.01563
t1.Dig.BM.95.R1,t1,Dig,BM,95,1,t1.Dig.BM.95,t1.Dig.BM,Dig.BM,Dig.95,BM.95,t1.BM,t1.95,422.66,30.59388945,28254.46289
t1.Dig.BM.95.R2,t1,Dig,BM,95,2,t1.Dig.BM.95,t1.Dig.BM,Dig.BM,Dig.95,BM.95,t1.BM,t1.95,430.14,46.87365597,19291.15625
t1.Dig.BM.95.R3,t1,Dig,BM,95,3,t1.Dig.BM.95,t1.Dig.BM,Dig.BM,Dig.95,BM.95,t1.BM,t1.95,459.33,5.885986444,32625.43164
t1.Dig.BM.95.R4,t1,Dig,BM,95,4,t1.Dig.BM.95,t1.Dig.BM,Dig.BM,Dig.95,BM.95,t1.BM,t1.95,451.38,6.393961423,27644.4707
t1.Dig.FERT.60.R1,t1,Dig,FERT,60,1,t1.Dig.FERT.60,t1.Dig.FERT,Dig.FERT,Dig.60,FERT.60,t1.FERT,t1.60,296.79,58.10581435,78264.67969
t1.Dig.FERT.60.R2,t1,Dig,FERT,60,2,t1.Dig.FERT.60,t1.Dig.FERT,Dig.FERT,Dig.60,FERT.60,t1.FERT,t1.60,372.46,43.06975495,58672.92188
t1.Dig.FERT.60.R3,t1,Dig,FERT,60,3,t1.Dig.FERT.60,t1.Dig.FERT,Dig.FERT,Dig.60,FERT.60,t1.FERT,t1.60,343.85,58.51219433,58123.11328
t1.Dig.FERT.60.R4,t1,Dig,FERT,60,4,t1.Dig.FERT.60,t1.Dig.FERT,Dig.FERT,Dig.60,FERT.60,t1.FERT,t1.60,239.59,64.12023811,71640.60156
t1.Dig.FERT.95.R1,t1,Dig,FERT,95,1,t1.Dig.FERT.95,t1.Dig.FERT,Dig.FERT,Dig.95,FERT.95,t1.FERT,t1.95,277.84,0.5,48402.36328
